Species,Code,Depth,Period,Days,Biomass,change,mass,mass_change
Laminaria hyperborea,LH_1,0m,T1,9,21.87,0,100,0
Laminaria hyperborea,LH_2,0m,T1,9,13.5,0,100,0
Laminaria hyperborea,LH_3,0m,T1,9,14.54,0,100,0
Laminaria hyperborea,LH_4,0m,T1,9,12.34,0,100,0
Laminaria hyperborea,LH_5,0m,T1,9,14.82,0,100,0
Laminaria hyperborea,LH_1,15m,T1,9,19.84,0,100,0
Laminaria hyperborea,LH_2,15m,T1,9,16.44,0,100,0
Laminaria hyperborea,LH_3,15m,T1,9,19.84,0,100,0
Laminaria hyperborea,LH_4,15m,T1,9,12.8,0,100,0
Laminaria hyperborea,LH_5,15m,T1,9,12.96,0,100,0
Laminaria hyperborea,LH_1,30m,T1,9,15.44,0,100,0
Laminaria hyperborea,LH_2,30m,T1,9,12.02,0,100,0
Laminaria hyperborea,LH_3,30m,T1,9,10.36,0,100,0
Laminaria hyperborea,LH_4,30m,T1,9,12.59,0,100,0
Laminaria hyperborea,LH_5,30m,T1,9,10.57,0,100,0
Laminaria ochroleuca,LO_1,0m,T1,9,14.6,0,100,0
Laminaria ochroleuca,LO_2,0m,T1,9,12.26,0,100,0
Laminaria ochroleuca,LO_3,0m,T1,9,13.64,0,100,0
Laminaria ochroleuca,LO_4,0m,T1,9,12.08,0,100,0
Laminaria ochroleuca,LO_5,0m,T1,9,10.77,0,100,0
Laminaria ochroleuca,LO_1,15m,T1,9,9.75,0,100,0
Laminaria ochroleuca,LO_2,15m,T1,9,12.36,0,100,0
Laminaria ochroleuca,LO_3,15m,T1,9,15.14,0,100,0
Laminaria ochroleuca,LO_4,15m,T1,9,13.04,0,100,0
Laminaria ochroleuca,LO_5,15m,T1,9,10.39,0,100,0
Laminaria ochroleuca,LO_1,30m,T1,9,12.45,0,100,0
Laminaria ochroleuca,LO_2,30m,T1,9,12.93,0,100,0
Laminaria ochroleuca,LO_3,30m,T1,9,13.71,0,100,0
Laminaria ochroleuca,LO_4,30m,T1,9,11.52,0,100,0
Laminaria ochroleuca,LO_5,30m,T1,9,8.82,0,100,0
Laminaria hyperborea,LH_1,0m,T2,16,21.51,-0.36,98.35390947,-1.646090535
Laminaria hyperborea,LH_2,0m,T2,16,13.26,-0.24,98.22222222,-1.777777778
Laminaria hyperborea,LH_3,0m,T2,16,14.36,-0.18,98.76203576,-1.237964237
Laminaria hyperborea,LH_4,0m,T2,16,12.19,-0.15,98.78444084,-1.215559157
Laminaria hyperborea,LH_5,0m,T2,16,14.21,-0.61,95.88394062,-4.116059379
Laminaria hyperborea,LH_1,15m,T2,16,19.48,-0.36,98.18548387,-1.814516129
Laminaria hyperborea,LH_2,15m,T2,16,16.26,-0.18,98.90510949,-1.094890511
Laminaria hyperborea,LH_3,15m,T2,16,19.72,-0.12,99.39516129,-0.60483871
Laminaria hyperborea,LH_4,15m,T2,16,11.9,-0.9,92.96875,-7.03125
Laminaria hyperborea,LH_5,15m,T2,16,12.78,-0.18,98.61111111,-1.388888889
Laminaria hyperborea,LH_1,30m,T2,16,14.85,-0.59,96.17875648,-3.821243523
Laminaria hyperborea,LH_2,30m,T2,16,11.42,-0.6,95.00831947,-4.991680532
Laminaria hyperborea,LH_3,30m,T2,16,10.19,-0.17,98.35907336,-1.640926641
Laminaria hyperborea,LH_4,30m,T2,16,2.84,-9.75,22.55758539,-77.44241461
Laminaria hyperborea,LH_5,30m,T2,16,8.12,-2.45,76.82119205,-23.17880795
Laminaria ochroleuca,LO_1,0m,T2,16,14.23,-0.37,97.46575342,-2.534246575
Laminaria ochroleuca,LO_2,0m,T2,16,12.06,-0.2,98.36867863,-1.63132137
Laminaria ochroleuca,LO_3,0m,T2,16,13.38,-0.26,98.09384164,-1.906158358
Laminaria ochroleuca,LO_4,0m,T2,16,11.9,-0.18,98.50993377,-1.490066225
Laminaria ochroleuca,LO_5,0m,T2,16,10.36,-0.41,96.19312906,-3.806870938
Laminaria ochroleuca,LO_1,15m,T2,16,9.64,-0.11,98.87179487,-1.128205128
Laminaria ochroleuca,LO_2,15m,T2,16,11.18,-1.18,90.45307443,-9.546925566
Laminaria ochroleuca,LO_3,15m,T2,16,14.96,-0.18,98.81109643,-1.188903567
Laminaria ochroleuca,LO_4,15m,T2,16,12.88,-0.16,98.77300613,-1.226993865
Laminaria ochroleuca,LO_5,15m,T2,16,9.81,-0.58,94.41770934,-5.582290664
Laminaria ochroleuca,LO_1,30m,T2,16,12.42,-0.03,99.75903614,-0.240963855
Laminaria ochroleuca,LO_2,30m,T2,16,12.39,-0.54,95.82366589,-4.176334107
Laminaria ochroleuca,LO_3,30m,T2,16,13.28,-0.43,96.86360321,-3.136396791
Laminaria ochroleuca,LO_4,30m,T2,16,11.39,-0.13,98.87152778,-1.128472222
Laminaria ochroleuca,LO_5,30m,T2,16,7.54,-1.28,85.48752834,-14.51247166
Laminaria hyperborea,LH_1,0m,T3,23,21.5,-0.01,98.30818473,-1.691815272
Laminaria hyperborea,LH_2,0m,T3,23,13.2,-0.06,97.77777778,-2.222222222
Laminaria hyperborea,LH_3,0m,T3,23,14.18,-0.18,97.52407153,-2.475928473
Laminaria hyperborea,LH_4,0m,T3,23,12.06,-0.13,97.73095624,-2.26904376
Laminaria hyperborea,LH_5,0m,T3,23,14,-0.21,94.46693657,-5.533063428
Laminaria hyperborea,LH_1,15m,T3,23,18.68,-0.8,94.15322581,-5.846774194
Laminaria hyperborea,LH_2,15m,T3,23,16.15,-0.11,98.23600973,-1.763990268
Laminaria hyperborea,LH_3,15m,T3,23,19.72,0,99.39516129,-0.60483871
Laminaria hyperborea,LH_4,15m,T3,23,3.57,-8.33,27.890625,-72.109375
Laminaria hyperborea,LH_5,15m,T3,23,12.72,-0.06,98.14814815,-1.851851852
Laminaria hyperborea,LH_1,30m,T3,23,12.29,-2.56,82.76094276,-17.23905724
Laminaria hyperborea,LH_2,30m,T3,23,7.37,-4.05,61.31447587,-38.68552413
Laminaria hyperborea,LH_3,30m,T3,23,10.12,-0.07,97.68339768,-2.316602317
Laminaria hyperborea,LH_4,30m,T3,23,0,-2.84,0,-100
Laminaria hyperborea,LH_5,30m,T3,23,0,-8.12,0,-100
Laminaria ochroleuca,LO_1,0m,T3,23,14.6,0.37,100,0
Laminaria ochroleuca,LO_2,0m,T3,23,12.46,0.4,101.6313214,1.63132137
Laminaria ochroleuca,LO_3,0m,T3,23,13.63,0.25,99.92668622,-0.073313783
Laminaria ochroleuca,LO_4,0m,T3,23,12.35,0.45,102.2350993,2.235099338
Laminaria ochroleuca,LO_5,0m,T3,23,10.34,-0.02,96.00742804,-3.992571959
Laminaria ochroleuca,LO_1,15m,T3,23,9.05,-0.59,92.82051282,-7.179487179
Laminaria ochroleuca,LO_2,15m,T3,23,11.19,0.01,90.53398058,-9.466019417
Laminaria ochroleuca,LO_3,15m,T3,23,15.01,0.05,99.14134742,-0.858652576
Laminaria ochroleuca,LO_4,15m,T3,23,13.01,0.13,99.76993865,-0.23006135
Laminaria ochroleuca,LO_5,15m,T3,23,9.29,-0.52,89.41289702,-10.58710298
Laminaria ochroleuca,LO_1,30m,T3,23,12.37,-0.05,99.35742972,-0.642570281
Laminaria ochroleuca,LO_2,30m,T3,23,12.18,-0.21,94.19953596,-5.800464037
Laminaria ochroleuca,LO_3,30m,T3,23,13.11,-0.17,95.62363239,-4.376367615
Laminaria ochroleuca,LO_4,30m,T3,23,11.38,-0.01,98.78472222,-1.215277778
Laminaria ochroleuca,LO_5,30m,T3,23,6.84,-0.7,77.55102041,-22.44897959
Laminaria hyperborea,LH_1,0m,T4,30,21.83,0.33,99.81710105,-0.182898948
Laminaria hyperborea,LH_2,0m,T4,30,13.34,0.14,98.81481481,-1.185185185
Laminaria hyperborea,LH_3,0m,T4,30,14.39,0.21,98.96836314,-1.031636864
Laminaria hyperborea,LH_4,0m,T4,30,12.32,0.26,99.83792545,-0.162074554
Laminaria hyperborea,LH_5,0m,T4,30,14.23,0.23,96.01889339,-3.981106613
Laminaria hyperborea,LH_1,15m,T4,30,12.12,-6.56,61.08870968,-38.91129032
Laminaria hyperborea,LH_2,15m,T4,30,16.15,0,98.23600973,-1.763990268
Laminaria hyperborea,LH_3,15m,T4,30,19.53,-0.19,98.4375,-1.5625
Laminaria hyperborea,LH_4,15m,T4,30,1.72,-1.85,13.4375,-86.5625
Laminaria hyperborea,LH_5,15m,T4,30,12.58,-0.14,97.06790123,-2.932098765
Laminaria hyperborea,LH_1,30m,T4,30,1.58,-10.71,10.23316062,-89.76683938
Laminaria hyperborea,LH_2,30m,T4,30,4.31,-3.06,35.85690516,-64.14309484
Laminaria hyperborea,LH_3,30m,T4,30,9.88,-0.24,95.36679537,-4.633204633
Laminaria hyperborea,LH_4,30m,T4,30,0,,0,-100
Laminaria hyperborea,LH_5,30m,T4,30,0,,0,-100
Laminaria ochroleuca,LO_1,0m,T4,30,15.44,0.84,105.7534247,5.753424658
Laminaria ochroleuca,LO_2,0m,T4,30,12.9,0.44,105.2202284,5.220228385
Laminaria ochroleuca,LO_3,0m,T4,30,14.37,0.74,105.3519062,5.351906158
Laminaria ochroleuca,LO_4,0m,T4,30,13.16,0.81,108.9403974,8.940397351
Laminaria ochroleuca,LO_5,0m,T4,30,10.33,-0.01,95.91457753,-4.08542247
