Species,Depth,Nutrients,Code,Time,Days,NPP,R,GPP,par,temp
L.hyperboea,0,NO,LH_1-0m,1,9,168.8,22.47,191.28,415.88,16.9
L.hyperboea,0,NO,LH_1-0m,2,16,197.22,26.27,223.49,777.44,18.9
L.hyperboea,0,NO,LH_1-0m,3,23,221.21,31.32,252.53,1501.03,17.7
L.hyperboea,0,NO,LH_1-0m,4,30,176.51,33.94,210.45,1109.01,19.4
L.hyperboea,0,NO,LH_1-0m,5,36,195.95,45.76,241.71,925.7,20.5
L.hyperboea,0,NO,LH_1-0m,6,56,137.76,47.16,184.92,864.03,22.6
L.hyperboea,0,NO,LH_2-0m,1,9,191.8,24.33,216.13,402.13,17
L.hyperboea,0,NO,LH_2-0m,2,16,199.12,25.43,224.55,659.42,18.9
L.hyperboea,0,NO,LH_2-0m,3,23,252.65,37.02,289.66,1497.93,18
L.hyperboea,0,NO,LH_2-0m,4,30,248.11,38.25,286.36,1123.21,19.4
L.hyperboea,0,NO,LH_2-0m,5,36,240.26,59.5,299.76,917.64,20.5
L.hyperboea,0,NO,LH_2-0m,6,56,176.94,54.94,231.88,872.88,22.8
L.hyperboea,0,NO,LH_3-0m,1,9,263.65,19.15,282.8,380.26,17.1
L.hyperboea,0,NO,LH_3-0m,2,16,214.82,29.24,244.06,660.08,19
L.hyperboea,0,NO,LH_3-0m,3,23,295.52,41.81,337.33,1495.11,18
L.hyperboea,0,NO,LH_3-0m,4,30,249.31,36.29,285.61,1142.89,19.5
L.hyperboea,0,NO,LH_3-0m,5,36,229.54,44.23,273.77,912.86,20.5
L.hyperboea,0,NO,LH_3-0m,6,56,181.99,52.81,234.8,881.27,22.8
L.hyperboea,0,NO,LH_4-0m,1,9,233.75,25.47,259.22,359.47,17.1
L.hyperboea,0,NO,LH_4-0m,2,16,273.59,34.11,307.7,660.63,19
L.hyperboea,0,NO,LH_4-0m,3,23,275.51,36.11,311.62,1492.34,17.9
L.hyperboea,0,NO,LH_4-0m,4,30,259.89,45.56,305.45,1156.8,19.5
